wav,n10,n20,n30,ref 10,ref 20,ref 30
1534.68,-65.23944092,-63.48259354,-61.7918396,-36.39401245,-36.17728424,-35.47625351
1534.69,-65.09279633,-63.45934296,-61.83432007,-36.41966248,-36.0440979,-35.54938126
1534.7,-64.89783478,-63.45562744,-61.8371048,-36.52624893,-35.99609756,-35.58559799
1534.71,-64.71618652,-63.53604889,-61.99631119,-36.54091263,-35.97393417,-35.92109299
1534.72,-64.58216858,-63.39204025,-62.10258102,-36.43820953,-35.7368927,-36.03050995
1534.73,-64.56613159,-63.40246201,-62.1302948,-36.49291229,-35.78831863,-36.00454712
1534.74,-64.52403259,-63.23493576,-62.15102768,-36.52890778,-35.81289673,-36.03417206
1534.75,-64.48087311,-63.02644348,-62.22252655,-36.3901825,-35.6780777,-36.12078476
1534.76,-64.33472443,-62.77978516,-62.26199341,-36.34430313,-35.64244461,-36.20867538
1534.77,-64.20050049,-62.49997711,-62.32028198,-36.27557755,-35.71997833,-36.10876465
1534.78,-63.95608139,-62.21691895,-62.4283638,-36.17040253,-35.71581268,-36.23480606
1534.79,-63.82946396,-61.91693115,-62.54984665,-36.06751633,-35.62982178,-36.32276917
1534.8,-63.78843689,-61.70227814,-62.66726685,-36.05106735,-35.5569191,-36.18599319
1534.81,-63.60359192,-61.52367401,-62.7585907,-36.07025909,-35.60265732,-36.17120361
1534.82,-63.42324829,-61.35542297,-62.93154907,-35.95952606,-35.49192047,-36.14513397
1534.83,-63.12757874,-61.19603729,-63.07172394,-35.93143082,-35.3833313,-36.14368439
1534.84,-63.01774597,-61.10432816,-63.2045517,-35.96264267,-35.5123024,-36.06739044
1534.85,-62.79325867,-60.99306488,-63.39871979,-35.87602997,-35.53699493,-35.97374344
1534.86,-62.61444092,-60.92543411,-63.54701233,-35.75999451,-35.48449326,-35.96672058
1534.87,-62.5074501,-60.92607117,-63.66436386,-35.83898163,-35.41826248,-35.81512451
1534.88,-62.40111923,-60.9413147,-63.73069,-35.85792542,-35.53834152,-35.58924103
1534.89,-62.27536774,-60.97901535,-63.80662918,-35.77750015,-35.53780746,-35.57278824
1534.9,-62.19010162,-61.02534103,-63.93357849,-35.67008209,-35.4797287,-35.47701263
1534.91,-62.11462021,-61.05858994,-63.99126434,-35.66201782,-35.60939789,-35.31153107
1534.92,-62.06918335,-61.13094711,-64.11696625,-35.71832657,-35.77484512,-35.38568115
1534.93,-61.93469238,-61.08983231,-64.32437134,-35.66798782,-35.60718918,-35.34357452
1534.94,-61.85321808,-61.1450119,-64.53126526,-35.65820694,-35.64037704,-35.40741348
1534.95,-61.76606369,-61.21786499,-64.65906525,-35.7552948,-35.76407242,-35.34033966
1534.96,-61.64548111,-61.28133774,-64.81335449,-35.64209747,-35.78291321,-35.29754257
1534.97,-61.6095047,-61.36444855,-64.97758484,-35.70542908,-35.76618958,-35.43917084
1534.98,-61.6118927,-61.41838837,-65.04380798,-35.77746582,-35.88653564,-35.35547256
1534.99,-61.55862045,-61.44265747,-65.19839478,-35.77529907,-35.95084763,-35.43572235
1535,-61.51579285,-61.43851471,-65.3317337,-35.7557373,-35.96267319,-35.49864197
1535.01,-61.52935028,-61.3699646,-65.45293427,-35.73490143,-36.03932571,-35.48646927
1535.02,-61.5720787,-61.36868286,-65.50687408,-35.79037857,-36.14054489,-35.48688889
1535.03,-61.70264816,-61.31932449,-65.4312973,-35.7793045,-36.16316223,-35.22898865
1535.04,-61.74410248,-61.19667435,-65.36328888,-35.7604599,-36.05223083,-35.30183411
1535.05,-61.90376663,-61.20173645,-65.24858856,-35.89123917,-35.99859238,-35.27734375
1535.06,-62.00312042,-61.08128357,-65.15828705,-35.99034119,-35.99938965,-35.1827774
1535.07,-62.04097748,-61.03214645,-65.22698975,-35.98071671,-36.09601974,-35.27890015
1535.08,-62.12472534,-60.97130966,-65.12696838,-36.08480072,-36.01985168,-35.31536865
1535.09,-62.17955017,-60.89038086,-65.12380219,-36.25155258,-36.04620361,-35.2453537
1535.1,-62.21670151,-60.86936951,-65.10469055,-36.33688354,-36.11569595,-35.20972061
1535.11,-62.24253845,-60.77185822,-65.04795074,-36.37344742,-35.99122238,-35.33327866
1535.12,-62.20311737,-60.7294693,-64.9907074,-36.34744644,-35.90518951,-35.26822281
1535.13,-62.25792313,-60.70311356,-64.92580414,-36.42682648,-36.00058365,-35.27883148
1535.14,-62.18323135,-60.61685944,-64.87631226,-36.45299911,-36.02366638,-35.28369141
1535.15,-62.18516159,-60.59441376,-64.83969879,-36.47671127,-35.89663696,-35.3651123
1535.16,-62.26460648,-60.52318954,-64.7388916,-36.60511398,-35.8231926,-35.19100952
1535.17,-62.2738533,-60.5406723,-64.7049942,-36.63679504,-35.86591721,-35.08701324
1535.18,-62.25611115,-60.56134033,-64.70301056,-36.5524025,-35.74388123,-35.16093445
1535.19,-62.15352631,-60.60329437,-64.66854095,-36.54059982,-35.64348602,-35.16523743
1535.2,-62.09753799,-60.71142197,-64.63820648,-36.54994583,-35.73228073,-35.17580032
1535.21,-62.01345444,-60.77925491,-64.6518631,-36.54382706,-35.66724014,-35.17972183
1535.22,-61.9107933,-60.83472061,-64.60056305,-36.4756279,-35.53867722,-35.26932907
1535.23,-61.81228638,-60.9743042,-64.61659241,-36.48630142,-35.48690414,-35.44187927
1535.24,-61.65164948,-61.17490768,-64.61519623,-36.48986816,-35.56713104,-35.32076645
1535.25,-61.40318298,-61.27664566,-64.68345642,-36.32933044,-35.57954025,-35.42550659
1535.26,-61.24921799,-61.46728897,-64.77085876,-36.24080276,-35.59933472,-35.50824356
1535.27,-61.13692093,-61.59593201,-64.80745697,-36.2051239,-35.69164276,-35.44135284
1535.28,-61.00289917,-61.69493484,-65.01624298,-36.10339355,-35.68824387,-35.60792542
1535.29,-60.95191956,-61.80600739,-65.19563293,-36.00619888,-35.61228943,-35.61887741
1535.3,-60.93323135,-61.85010529,-65.38014221,-36.01485443,-35.62890625,-35.68439865
1535.31,-60.94028091,-61.9682579,-65.60869598,-35.99730682,-35.66795349,-35.59717941
1535.32,-60.97135925,-62.01087189,-65.82538605,-35.91843414,-35.68113708,-35.44549561
1535.33,-61.01369095,-62.04328918,-66.0451355,-35.8788414,-35.69025421,-35.48326874
