wav,TE0,TE1,ref
1542.12,-34.27152634,-42.73814392,-34.01633453
1542.13,-34.18793106,-43.06330872,-33.96027374
1542.14,-34.18370819,-43.46220016,-33.91167068
1542.15,-34.21455383,-43.9188385,-34.00019455
1542.16,-34.21738434,-44.10525894,-34.07258987
1542.17,-34.14512634,-44.4045639,-34.04507828
1542.18,-34.2302475,-44.91874695,-33.88009262
1542.19,-34.19259262,-45.37501144,-33.95889664
1542.2,-34.17251968,-45.81165695,-33.89943314
1542.21,-34.17185974,-46.38497162,-33.84599686
1542.22,-34.15618515,-46.83039856,-33.86178589
1542.23,-34.07699966,-47.03972626,-34.01052856
1542.24,-34.06560135,-47.24147034,-33.83651352
1542.25,-34.02094269,-47.58826828,-33.72529602
1542.26,-34.19300079,-48.02836609,-33.71796036
1542.27,-33.99217224,-48.23475647,-33.72236633
1542.28,-33.93766403,-48.4503212,-33.60961914
1542.29,-33.95291901,-48.63850784,-33.61745071
1542.3,-33.82079315,-48.85458755,-33.68878174
1542.31,-33.82626343,-49.2450676,-33.75373459
1542.32,-33.82636261,-49.42798615,-33.65823364
1542.33,-33.81772995,-49.56388474,-33.67985916
1542.34,-33.77146912,-49.56041336,-33.71525192
1542.35,-33.62181091,-49.44421387,-33.62430954
1542.36,-33.70425797,-49.55183792,-33.68207169
1542.37,-33.72274399,-49.34003067,-33.77999115
1542.38,-33.66429138,-49.17675018,-33.91911697
1542.39,-33.7478981,-48.95372772,-33.85939789
1542.4,-33.81519318,-48.6337471,-33.9108429
1542.41,-33.82105255,-48.19793701,-34.04559326
1542.42,-33.81266403,-47.77872467,-34.0214386
1542.43,-33.83932877,-47.42259598,-33.96585846
1542.44,-33.89262009,-47.19564819,-34.18823242
1542.45,-33.93068314,-46.51020432,-34.3363533
1542.46,-33.92938232,-46.1375351,-34.33449554
1542.47,-34.05397415,-45.56410217,-34.37517166
1542.48,-33.98617935,-44.63184738,-34.42123413
1542.49,-34.00791168,-44.15176392,-34.41896057
1542.5,-34.17777252,-43.68930435,-34.3936348
1542.51,-34.22785568,-43.36308289,-34.48860931
1542.52,-34.30991364,-43.00204849,-34.54351044
1542.53,-34.3772049,-42.43590927,-34.38388443
1542.54,-34.52493286,-42.08312607,-34.2800827
1542.55,-34.72651291,-41.54307175,-34.4131012
1542.56,-34.67311096,-40.96397781,-34.37175369
1542.57,-34.77191925,-40.69396973,-34.29841232
1542.58,-34.9243927,-40.41320801,-34.23180008
1542.59,-35.00793076,-40.15820694,-34.18194962
1542.6,-35.08673096,-40.01926804,-34.01253128
1542.61,-35.22101593,-39.67776108,-33.82831192
1542.62,-35.33058929,-39.44741058,-33.83835983
1542.63,-35.39513016,-39.07399368,-33.85979843
1542.64,-35.5080719,-38.83019257,-33.70283508
1542.65,-35.72972488,-38.75897217,-33.55059052
1542.66,-35.81755066,-38.50907898,-33.62016296
1542.67,-35.93484879,-38.38975143,-33.51323318
1542.68,-36.2784996,-38.37336731,-33.43166733
1542.69,-36.43754196,-38.1432724,-33.42419434
1542.7,-36.52239227,-37.97488785,-33.46459579
1542.71,-36.5461235,-37.64775848,-33.3259964
1542.72,-36.71509171,-37.57598877,-33.25661469
1542.73,-36.8890686,-37.56152725,-33.35336304
1542.74,-36.9745903,-37.40582275,-33.37068558
1542.75,-37.22618484,-37.44135284,-33.2685051
1542.76,-37.46844482,-37.3739357,-33.30322266
1542.77,-37.48868561,-37.13230896,-33.30057907
1542.78,-37.59729385,-36.99035263,-33.30901718
1542.79,-37.70253754,-36.82868576,-33.31585312
1542.8,-37.75622559,-36.68010712,-33.42790222
1542.81,-37.90195084,-36.57495117,-33.57204056
1542.82,-37.95742416,-36.41382599,-33.5401001
1542.83,-38.25589752,-36.39669418,-33.49184418
1542.84,-38.36786652,-36.23477173,-33.59017181
1542.85,-38.40528488,-36.05853653,-33.71336365
1542.86,-38.57316589,-35.87120438,-33.56725311
1542.87,-38.81275177,-35.79508591,-33.59433365
1542.88,-38.93902588,-35.68749237,-33.70155716
1542.89,-39.13122559,-35.61701202,-33.66447067
1542.9,-39.45716476,-35.58455658,-33.57221222
1542.91,-39.76097488,-35.56288528,-33.62626266
1542.92,-39.90927887,-35.29532242,-33.68104172
1542.93,-40.16721725,-35.21235657,-33.62984085
1542.94,-40.51651382,-35.12859726,-33.63794327
1542.95,-40.62404633,-34.9079361,-33.73333359
1542.96,-40.88999939,-34.83527756,-33.61797714
1542.97,-41.40496445,-34.85596466,-33.55587769
1542.98,-41.75380325,-34.75804138,-33.59598923
1542.99,-42.09732819,-34.66355896,-33.70321655
1543,-42.41596603,-34.49195862,-33.6492157
1543.01,-42.72442245,-34.49312973,-33.57630539
1543.02,-43.23964691,-34.43630981,-33.63210297
1543.03,-43.52293396,-34.31163406,-33.60968781
1543.04,-43.9217186,-34.35765839,-33.51940155
1543.05,-44.3980217,-34.29624939,-33.49736404
1543.06,-44.86871719,-34.27316284,-33.60050201
1543.07,-44.94509506,-34.23731995,-33.57182693
1543.08,-45.23433304,-34.13088226,-33.49941254
1543.09,-45.6124382,-34.08869553,-33.51768875
1543.1,-45.69277954,-33.92304993,-33.52391815
1543.11,-46.09665298,-33.95892715,-33.47645569
1543.12,-46.55760956,-33.97079086,-33.45850754
1543.13,-46.54961395,-33.78920364,-33.46687698
1543.14,-46.65480042,-33.72726822,-33.46782303
1543.15,-46.92038727,-33.76284409,-33.35072708
1543.16,-47.05207062,-33.71638489,-33.4495697
1543.17,-47.08445358,-33.61257935,-33.55122375
1543.18,-47.04793549,-33.52937698,-33.47324371
1543.19,-47.16576004,-33.55066299,-33.35523605
1543.2,-47.17499161,-33.55854034,-33.43711853
1543.21,-47.15696716,-33.4355011,-33.47079468
1543.22,-47.13549423,-33.40050507,-33.3722229
1543.23,-47.03582001,-33.40790176,-33.32447433
1543.24,-47.01220322,-33.33693695,-33.38510513
1543.25,-46.93381882,-33.31895828,-33.40003586
1543.26,-46.71014404,-33.33710098,-33.36065674
1543.27,-46.67502213,-33.31491852,-33.4246254
1543.28,-46.19736481,-33.28324127,-33.49452972
1543.29,-45.97307587,-33.25447845,-33.46054077
1543.3,-45.73800278,-33.3319664,-33.42426682
1543.31,-45.2625885,-33.27017593,-33.51320267
1543.32,-45.08462143,-33.33124924,-33.56563568
1543.33,-44.79294968,-33.4315033,-33.60492706
1543.34,-44.55900574,-33.50450897,-33.63911819
1543.35,-44.30217743,-33.50582123,-33.75626373
1543.36,-43.90341949,-33.57488251,-33.7131424
1543.37,-43.5604248,-33.64570618,-33.71960449
1543.38,-43.33105469,-33.76760864,-33.78662491
1543.39,-42.91065979,-33.74503708,-33.87833023
1543.4,-42.88296509,-33.90632629,-33.83036041
1543.41,-42.46778107,-34.03567505,-33.84055328
1543.42,-42.19552994,-34.09342957,-33.9894371
1543.43,-42.019104,-34.1631012,-34.12591934
1543.44,-41.66526031,-34.23940277,-34.1178894
1543.45,-41.35072708,-34.2976532,-34.09219742
1543.46,-41.03754425,-34.31344223,-34.13904953
1543.47,-40.77511597,-34.34082031,-34.06065369
1543.48,-40.68927765,-34.5065918,-34.03527832
1543.49,-40.40790558,-34.57814789,-34.14353561
1543.5,-40.16944885,-34.60154724,-34.2131424
1543.51,-40.00947952,-34.66456223,-34.15759659
1543.52,-39.64472961,-34.68035507,-34.09323502
1543.53,-39.4491272,-34.73124313,-34.08418274
1543.54,-39.26941681,-34.73041916,-34.00427246
