wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1522.47,-50.53605652,-56.18008804,-63.56811905,-42.88661575,-40.96706772,-41.4226799
1522.48,-50.55390549,-56.06425858,-63.43502045,-42.82160568,-40.8916626,-41.47092819
1522.49,-50.50371933,-56.03290558,-63.3245697,-42.762146,-40.944767,-41.50237656
1522.5,-50.50392914,-55.957798,-63.18330765,-42.75735474,-40.92697144,-41.47768021
1522.51,-50.46322632,-55.92058563,-63.02374649,-42.69089508,-41.00438309,-41.5553627
1522.52,-50.41867447,-55.90642166,-62.85880661,-42.7514801,-40.94975662,-41.52669907
1522.53,-50.4593277,-55.87688828,-62.6963768,-42.59085846,-40.94738007,-41.5810585
1522.54,-50.5718956,-55.8900528,-62.57443237,-42.65526581,-40.96813202,-41.66969299
1522.55,-50.53269196,-55.91760635,-62.42041397,-42.6288414,-40.9059906,-41.47382736
1522.56,-50.44343185,-55.98542023,-62.38019562,-42.54729843,-41.02513123,-41.57920837
1522.57,-50.46976089,-56.09445572,-62.32374191,-42.60727692,-41.05867386,-41.55138779
1522.58,-50.46953964,-56.20465469,-62.27985764,-42.61117554,-41.05138397,-41.51262283
1522.59,-50.35359955,-56.30725861,-62.23937988,-42.67417908,-41.19538879,-41.53839111
1522.6,-50.34545898,-56.44399643,-62.19312286,-42.72207642,-41.16152191,-41.41545868
1522.61,-50.30298233,-56.61660767,-62.22137833,-42.68269348,-41.19908524,-41.46379852
1522.62,-50.23778915,-56.76852036,-62.25082397,-42.70746994,-41.24441528,-41.41680527
1522.63,-50.20438004,-56.95798111,-62.27477646,-42.80545044,-41.15713501,-41.41715622
1522.64,-50.19380569,-57.14211655,-62.33400726,-42.85906219,-41.09423065,-41.4186058
1522.65,-50.1930542,-57.28075027,-62.43498611,-42.94506836,-40.97964096,-41.45701599
1522.66,-50.15241241,-57.46797943,-62.48554993,-43.07601166,-40.92947388,-41.47706223
1522.67,-50.12422562,-57.67713547,-62.56928253,-43.21103668,-41.02761078,-41.40980148
1522.68,-50.15699387,-57.8351059,-62.63516998,-43.30190659,-40.94675064,-41.29823303
1522.69,-50.10726547,-57.93677521,-62.6930275,-43.35825348,-40.96318054,-41.28824615
1522.7,-50.11403275,-58.03774261,-62.74317169,-43.40850067,-40.99414825,-41.15044403
1522.71,-50.13446808,-58.12322998,-62.82434845,-43.30744171,-40.95347214,-41.06616211
1522.72,-50.20669937,-58.20693207,-62.92461014,-43.25964737,-40.89435196,-41.0687027
1522.73,-50.19906616,-58.23082733,-63.01837158,-43.22276688,-40.87162018,-41.02863693
1522.74,-50.22200775,-58.22213745,-63.10008621,-43.24414825,-40.73668671,-41.04512405
1522.75,-50.34369659,-58.20894623,-63.16172791,-43.22510529,-40.70404434,-41.0995903
1522.76,-50.44428253,-58.13531113,-63.16652679,-43.24329376,-40.70851135,-41.12052536
1522.77,-50.483078,-58.07604599,-63.18545532,-43.21224213,-40.71306229,-41.18584824
1522.78,-50.51030731,-58.01834106,-63.21679306,-43.12521362,-40.7086792,-41.13750076
