wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1521.43,-45.31581879,-44.15173721,-41.26121264,-4.054606145,-2.890524572,-0.423379094,,,
1521.44,-45.48085403,-44.03760147,-41.32249575,-4.158358281,-2.715105718,-0.36675298,,,
1521.45,-45.55423737,-43.88129807,-41.30687838,-4.247358983,-2.574419683,-0.32052874,,,
1521.46,-45.7172966,-43.91701889,-41.32936221,-4.387934392,-2.587656682,-0.384872442,,,
1521.47,-45.71521378,-43.73750305,-41.31779986,-4.397413915,-2.419703191,-0.28664069,,,
1521.48,-45.89683533,-43.67253876,-41.33696109,-4.559874242,-2.335577672,-0.296555338,,,
1521.49,-46.01608276,-43.75548553,-41.31887561,-4.697207158,-2.436609929,-0.411153443,,,
1521.5,-46.09084702,-43.64006805,-41.26236087,-4.82848615,-2.377707189,-0.422167284,,,
1521.51,-46.17254257,-43.6936264,-41.36566668,-4.80687589,-2.327959722,-0.382599913,,,
1521.52,-46.23840714,-43.65693283,-41.34030276,-4.898104375,-2.316630071,-0.408020565,,,
1521.53,-46.34209061,-43.5797348,-41.49080783,-4.851282781,-2.088926976,-0.243783676,,,
1521.54,-46.41439056,-43.5618782,-41.63211566,-4.782274907,-1.929762548,-0.115614574,,,
1521.55,-46.47516632,-43.51406097,-41.74002581,-4.735140508,-1.774035161,0.003337627,,,
1521.56,-46.46281433,-43.42697906,-41.92861682,-4.534197515,-1.498362249,0.254055244,,,
1521.57,-46.51179123,-43.26647568,-41.95082217,-4.56096906,-1.315653508,0.368325021,,,
1521.58,-46.62090683,-43.22057724,-41.97323352,-4.647673314,-1.247343724,0.387411267,,,
1521.59,-46.74918747,-43.2264595,-41.89106494,-4.858122533,-1.335394567,0.261336102,,,
1521.6,-46.89571762,-43.14398956,-41.88694888,-5.008768743,-1.257040685,0.270515772,,,
1521.61,-46.97546768,-43.15739441,-42.07970172,-4.895765966,-1.077692693,0.430295777,,,
1521.62,-47.03360748,-43.19844818,-41.93398028,-5.099627202,-1.2644679,0.238515257,,,
1521.63,-47.24597168,-43.15759659,-41.92867022,-5.317301458,-1.228926366,0.201496297,,,
1521.64,-47.32421875,-43.13801956,-41.82056552,-5.503653234,-1.317454045,0.085738794,,,
1521.65,-47.36894989,-42.99374008,-41.769872,-5.599077886,-1.223868077,0.127956291,,,
1521.66,-47.407444,-42.85634995,-41.83967715,-5.567766851,-1.016672795,0.288798923,,,
1521.67,-47.47958755,-42.81111908,-41.63741809,-5.842169469,-1.173700994,0.101601165,,,
1521.68,-47.57328415,-42.82656479,-41.67892962,-5.894354528,-1.147635167,0.107888458,,,
1521.69,-47.64073944,-42.65719223,-41.72381335,-5.916926091,-0.933378881,0.263890126,,,
1521.7,-47.79843903,-42.55199814,-41.64940005,-6.149038976,-0.902598088,0.23276793,,,
1521.71,-47.94390869,-42.42248154,-41.69567996,-6.248228734,-0.72680158,0.346828696,,,
1521.72,-48.12578201,-42.31609344,-41.68713122,-6.438650792,-0.628962224,0.383147558,,,
1521.73,-48.27348328,-42.34868622,-41.64160662,-6.631876653,-0.707079595,0.281350921,,,
1521.74,-48.41529083,-42.24833298,-41.60765963,-6.8076312,-0.640673345,0.299547122,,,
1521.75,-48.55047226,-42.14045715,-41.68633013,-6.864142125,-0.454127019,0.43983346,,,
1521.76,-48.77828979,-42.07305908,-41.55676776,-7.221522039,-0.516291326,0.324245569,,,
1521.77,-48.9910965,-42.03179932,-41.55059176,-7.440504735,-0.481207555,0.315686853,,,
1521.78,-49.2181778,-42.02005768,-41.66661578,-7.551562017,-0.353441899,0.404321093,,,
1521.79,-49.37077332,-41.96460342,-41.5542348,-7.816538518,-0.410368627,0.314746911,,,
1521.8,-49.52727127,-41.97826767,-41.62157183,-7.905699437,-0.356695836,0.346759494,,,
1521.81,-49.64021683,-42.00876236,-41.56252413,-8.077692693,-0.446238225,0.244986592,,,
1521.82,-49.75840759,-41.74359894,-41.55818682,-8.200220769,-0.185412114,0.45148528,,,
1521.83,-50.03982544,-41.8324852,-41.68464022,-8.355185216,-0.147844976,0.463287548,,,
1521.84,-50.26343918,-41.82172394,-41.64924746,-8.614191716,-0.172476476,0.40860222,,,
1521.85,-50.61719513,-42.02820587,-41.66560107,-8.95159406,-0.362604802,0.2003015,,,
1521.86,-50.82356262,-42.04711151,-41.67295962,-9.150603002,-0.374151891,0.166392878,,,
1521.87,-51.10137939,-42.01498413,-41.72838336,-9.372996038,-0.286600774,0.218793199,,,
1521.88,-51.35845566,-42.09455872,-41.73013049,-9.62832517,-0.364428228,0.121817201,,,
1521.89,-51.50351715,-41.9739151,-41.57671862,-9.926798528,-0.397196477,0.061662438,,,
1521.9,-51.76135635,-42.07165146,-41.75109988,-10.01025647,-0.32055158,0.122518081,,,
1521.91,-52.00246811,-42.09615326,-41.71663409,-10.28583402,-0.37951917,0.043008517,,,
1521.92,-52.24601746,-42.16321945,-41.54152423,-10.70449323,-0.621695226,-0.215230575,,,
1521.93,-52.40663528,-42.14155197,-41.62392169,-10.7827136,-0.517630284,-0.127144343,,,
1521.94,-52.61633301,-42.15447235,-41.57319766,-11.04313535,-0.581274694,-0.207363423,,,
1521.95,-52.88018417,-42.18873596,-41.5863431,-11.29384107,-0.602392858,-0.246968584,,,
1521.96,-53.07694244,-42.11128616,-41.60056048,-11.47638196,-0.510725682,-0.176232934,,,
